,colors,description,name,price
267,**No Colors Found**,"For Powders, Short Dense Shape, Shades Cheeks",128 Split Fibre Cheek Brush,$35.00
268,**No Colors Found**,"For Powders, Paddle-Shaped, Applies Shadow",233 Split Fibre Eye Shadow Brush,$25.00
269,**No Colors Found**,"For Powders, Chiseled Sides, Shades Cheeks",116 Blush Brush,$35.00
270,**No Colors Found**,"For Powders, Paddle-Shaped, Shades Face",127 Split Fibre Face Brush,$35.00
271,**No Colors Found**,"For Powders, Full Rounded Shape, Shades Cheeks",129 Powder/Blush Brush,$35.00
272,**No Colors Found**,"Full Rounded Shape, Shades Cheeks, Short Handle",129SH Powder/Blush Brush,$35.00
273,**No Colors Found**,"For All Formulas, Flat-Topped, Two Fibres",130 Short Duo Fibre Brush,$42.00
274,**No Colors Found**,"For Foundation, Paddle-Shaped, Two Fibres",132 Duo Fibre Foundation Brush,$35.00
275,**No Colors Found**,"For Powders, Wide Fluffed Tip, Shades Face and Body",134 Large Powder Brush,$53.00
276,**No Colors Found**,"For Powders, Long Dome Tip, Shades Face",137 Long Blending Brush ,$42.00
277,**No Colors Found**,"For Powders, Pointed Tip, Sculpts Face",138 Tapered Face Brush,$53.00
278,**No Colors Found**,"For Powders, Rounded Shape, Dusts On Product",150 Large Powder Brush,$42.00
279,**No Colors Found**,"For Blush, Paddle-Shaped, Two Fibres",159 Duo Fibre Blush Brush,$35.00
280,**No Colors Found**,"For All Formulas, Flat Wide Top, Contours Face",163 Flat Contour Brush,$35.00
281,**No Colors Found**,"For Powders, Slanted Tip, Contours Cheeks",168 Large Angled Contour Brush,$35.00
282,**No Colors Found**,"For Powders, Dome-Shaped, Buffs Face",182 Buffer Brush,$53.00
283,**No Colors Found**,"For Creams/Liquids, Fan-Shaped, Two Fibres",184 Duo Fibre Fan Brush,$25.00
284,**No Colors Found**,"For All Formulas, Circular Shape, Two Fibres",187 Duo Fibre Face Brush,$42.00
285,**No Colors Found**,"Full Circular Shape, Two Fibres, Short Handle",187SH Duo Fibre Face Brush,$42.00
286,**No Colors Found**,"For All Formulas, Flat-Topped, Two Fibres",188 Small Duo Fibre Face Brush,$35.00
287,**No Colors Found**,"For Foundation, Paddle-Shaped, Shades Face",190 Foundation Brush,$35.00
288,**No Colors Found**,"For Foundation, Flat Square-Shaped, Shades Face",191 Square Foundation Brush,$35.00
289,**No Colors Found**,"For Foundation, Slanted Tip, Precisely Applies",193 Angled Foundation Brush,$35.00
290,**No Colors Found**,"For Concealer, Pointed Tip, Precisely Applies",195 Concealer Brush,$25.00
291,**No Colors Found**,"For Lashes, Spoolie Shape, Grooms Lashes/Brows",204 Lash Brush,$15.00
292,**No Colors Found**,"For Mascara, Fan-Shaped, Coats/Separates Lashes",205 Mascara Fan Brush,$20.00
293,**No Colors Found**,"For All Formulas, Angled Tip, Shades Brows",208 Angled Brow Brush,$20.00
294,**No Colors Found**,"For Liquids/Creams, Fine-Tipped, Lines Eyes",209 Eye Liner Brush,$20.00
295,**No Colors Found**,"For Liquids/Creams, Extra Fine Tip, Lines Eyes",210 Precise Eye Liner Brush,$20.00
296,**No Colors Found**,"For All Formulas, Pointed Tip, Lines Eyes",211 Pointed Liner Brush,$20.00
297,**No Colors Found**,"For All Formulas, Flat-Shaped, Defines Eyes",212 Flat Definer Brush,$25.00
298,**No Colors Found**,"For Powders, Fluffy Round Shape, Shades Eyes",213 Fluff Brush,$25.00
299,**No Colors Found**,"For Powders, Short Rounded Shape, Smudges Shadow",214 Short Shader Brush,$25.00
300,**No Colors Found**,"For Powders, Paddle-Shaped, Shapes Eyes",215 Medium Shader Brush,$25.00
301,**No Colors Found**,"For Powders/Creams, Oval Shape, Blends Shadow",217 Blending Brush,$25.00
302,**No Colors Found**,"For Powders/Creams, Pencil-Shaped, Defines Eyes",219 Pencil Brush,$25.00
303,**No Colors Found**,"For Powders, Tapered Tip, Blends Shadow",221 Mini Tapered Blending Brush ,$25.00
